id;start_date;end_date;language
1;2021-11-27T08:28:05;2021-11-27T06:18:20;ENGLISH
2;2021-11-26T17:55:40;2021-11-27T03:21:09;FRENCH
3;2021-11-27T03:51:52;2021-11-26T15:57:00;SPANISH
4;2021-11-27T08:22:41;2021-11-26T13:49:00;FRENCH
5;2021-11-27T10:39:04;2021-11-26T18:58:02;ENGLISH
6;2021-11-26T20:09:47;2021-11-27T10:10:07;SPANISH
7;2021-11-27T04:13:35;2021-11-26T14:47:44;FRENCH
8;2021-11-26T18:39:28;2021-11-26T15:15:17;FRENCH
9;2021-11-26T19:31:06;2021-11-27T07:02:32;FRENCH
10;2021-11-26T15:28:04;2021-11-27T08:25:33;FRENCH
